city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Vinh Phuc	05/01/2024	21.10 °C	74.0%	0.6 mm	13.7 kph	5.0
Phu Tho	05/01/2024	27.80 °C	59.0%	0.0 mm	13.0 kph	7.0
Hanoi	06/01/2024	21.60 °C	76.0%	1.3 mm	16.6 kph	5.0
Hung Yen	06/01/2024	21.20 °C	76.0%	0.2 mm	18.0 kph	5.0
Ha Nam	06/01/2024	21.00 °C	83.0%	0.7 mm	9.7 kph	5.0
Hoa Binh	06/01/2024	20.40 °C	84.0%	1.4 mm	7.9 kph	5.0
Bac Ninh	06/01/2024	21.40 °C	75.0%	0.6 mm	14.8 kph	5.0
Vinh Phuc	06/01/2024	21.60 °C	76.0%	1.3 mm	16.6 kph	5.0
Phu Tho	06/01/2024	28.60 °C	58.0%	0.1 mm	16.6 kph	9.0
Hanoi	07/01/2024	22.10 °C	72.0%	0.6 mm	17.6 kph	6.0
Hung Yen	07/01/2024	21.40 °C	72.0%	0.0 mm	20.5 kph	5.0
Ha Nam	07/01/2024	21.70 °C	80.0%	0.1 mm	14.4 kph	6.0
Hoa Binh	07/01/2024	21.10 °C	80.0%	0.6 mm	8.3 kph	6.0
Bac Ninh	07/01/2024	22.20 °C	65.0%	0.0 mm	20.5 kph	6.0
Vinh Phuc	07/01/2024	22.10 °C	72.0%	0.6 mm	17.6 kph	6.0
Phu Tho	07/01/2024	28.30 °C	64.0%	0.0 mm	17.3 kph	7.0
Hanoi	08/01/2024	22.10 °C	78.0%	0.8 mm	18.4 kph	5.0
Hung Yen	08/01/2024	21.20 °C	81.0%	0.1 mm	16.6 kph	5.0
Ha Nam	08/01/2024	22.70 °C	81.0%	1.6 mm	17.6 kph	6.0
Hoa Binh	08/01/2024	22.10 °C	83.0%	2.1 mm	7.9 kph	6.0
Bac Ninh	08/01/2024	21.70 °C	75.0%	1.1 mm	16.2 kph	5.0
Vinh Phuc	08/01/2024	22.10 °C	78.0%	0.8 mm	18.4 kph	5.0
Phu Tho	08/01/2024	28.00 °C	65.0%	0.0 mm	18.7 kph	7.0
Hanoi	09/01/2024	22.30 °C	78.0%	0.8 mm	15.5 kph	5.0
Hung Yen	09/01/2024	21.50 °C	83.0%	0.1 mm	13.7 kph	5.0
Ha Nam	09/01/2024	22.60 °C	83.0%	0.8 mm	14.4 kph	6.0
Hoa Binh	09/01/2024	20.80 °C	85.0%	2.4 mm	6.8 kph	5.0
Bac Ninh	09/01/2024	21.60 °C	79.0%	0.7 mm	11.9 kph	5.0
Vinh Phuc	09/01/2024	22.30 °C	78.0%	0.8 mm	15.5 kph	5.0
Phu Tho	09/01/2024	28.40 °C	62.0%	0.0 mm	18.7 kph	8.0
Hanoi	10/01/2024	19.90 °C	89.0%	17.4 mm	10.4 kph	5.0
Hung Yen	10/01/2024	19.90 °C	88.0%	8.3 mm	16.6 kph	5.0
Ha Nam	10/01/2024	20.60 °C	93.0%	11.0 mm	13.7 kph	5.0
Hoa Binh	10/01/2024	19.40 °C	95.0%	11.9 mm	5.4 kph	5.0
Bac Ninh	10/01/2024	19.40 °C	88.0%	14.6 mm	12.6 kph	5.0
Vinh Phuc	10/01/2024	19.90 °C	89.0%	17.4 mm	10.4 kph	5.0
Phu Tho	10/01/2024	28.20 °C	61.0%	0.0 mm	18.4 kph	7.0
Hanoi	11/01/2024	18.00 °C	88.0%	5.2 mm	9.4 kph	4.0
Hung Yen	11/01/2024	19.00 °C	87.0%	6.5 mm	15.8 kph	4.0
Ha Nam	11/01/2024	19.50 °C	93.0%	5.8 mm	11.9 kph	5.0
Hoa Binh	11/01/2024	18.00 °C	96.0%	7.3 mm	4.7 kph	4.0
Bac Ninh	11/01/2024	17.90 °C	87.0%	6.0 mm	10.8 kph	4.0
Vinh Phuc	11/01/2024	18.00 °C	88.0%	5.2 mm	9.4 kph	4.0
Phu Tho	11/01/2024	28.10 °C	60.0%	0.0 mm	19.8 kph	9.0
Hanoi	12/01/2024	17.50 °C	91.0%	8.8 mm	8.3 kph	4.0
Hung Yen	12/01/2024	18.80 °C	88.0%	1.7 mm	16.2 kph	4.0
Ha Nam	12/01/2024	20.20 °C	90.0%	2.6 mm	10.8 kph	5.0
Hoa Binh	12/01/2024	17.50 °C	97.0%	7.9 mm	3.6 kph	4.0
Bac Ninh	12/01/2024	17.40 °C	90.0%	6.9 mm	9.4 kph	4.0
Vinh Phuc	12/01/2024	17.50 °C	91.0%	8.8 mm	8.3 kph	4.0
Phu Tho	12/01/2024	27.00 °C	60.0%	0.0 mm	20.5 kph	8.0
Hanoi	13/01/2024	18.50 °C	89.0%	2.5 mm	6.5 kph	4.0
Hung Yen	13/01/2024	19.50 °C	82.0%	0.9 mm	13.7 kph	5.0
Ha Nam	13/01/2024	20.00 °C	92.0%	4.3 mm	11.2 kph	5.0
Hoa Binh	13/01/2024	17.80 °C	97.0%	3.9 mm	3.6 kph	4.0
Bac Ninh	13/01/2024	18.50 °C	89.0%	4.4 mm	8.3 kph	4.0
Vinh Phuc	13/01/2024	18.50 °C	89.0%	2.5 mm	6.5 kph	4.0
Phu Tho	13/01/2024	26.80 °C	59.0%	0.0 mm	20.5 kph	8.0
Hanoi	14/01/2024	20.90 °C	78.0%	0.5 mm	10.4 kph	5.0
Hung Yen	14/01/2024	20.80 °C	75.0%	0.1 mm	16.9 kph	6.0
Ha Nam	14/01/2024	20.10 °C	90.0%	1.3 mm	8.6 kph	5.0
Hoa Binh	14/01/2024	19.80 °C	88.0%	0.7 mm	5.4 kph	5.0
Bac Ninh	14/01/2024	20.60 °C	79.0%	0.2 mm	8.6 kph	5.0
Vinh Phuc	14/01/2024	20.90 °C	78.0%	0.5 mm	10.4 kph	5.0
Phu Tho	14/01/2024	26.90 °C	56.0%	0.0 mm	18.0 kph	8.0
Hanoi	15/01/2024	21.40 °C	77.0%	0.3 mm	15.1 kph	5.0
Hung Yen	15/01/2024	21.40 °C	76.0%	0.1 mm	19.8 kph	5.0
Ha Nam	15/01/2024	21.00 °C	86.0%	1.5 mm	16.9 kph	5.0
Hoa Binh	15/01/2024	20.10 °C	89.0%	1.9 mm	6.5 kph	5.0
Bac Ninh	15/01/2024	21.40 °C	76.0%	0.1 mm	18.4 kph	6.0
Vinh Phuc	15/01/2024	21.40 °C	77.0%	0.3 mm	15.1 kph	5.0
Phu Tho	15/01/2024	27.20 °C	58.0%	0.0 mm	14.8 kph	8.0
Hanoi	16/01/2024	20.80 °C	79.0%	1.0 mm	16.2 kph	5.0
Hung Yen	16/01/2024	20.80 °C	77.0%	0.2 mm	23.0 kph	5.0
Ha Nam	16/01/2024	21.20 °C	83.0%	4.1 mm	13.7 kph	5.0
Hoa Binh	16/01/2024	19.50 °C	93.0%	3.7 mm	5.8 kph	5.0
Bac Ninh	16/01/2024	21.00 °C	73.0%	0.1 mm	15.1 kph	5.0
Vinh Phuc	16/01/2024	20.80 °C	79.0%	1.0 mm	16.2 kph	5.0
Phu Tho	16/01/2024	28.10 °C	54.0%	0.0 mm	14.4 kph	7.0
Hanoi	17/01/2024	21.40 °C	78.0%	1.1 mm	18.4 kph	6.0
Hung Yen	17/01/2024	21.10 °C	82.0%	4.3 mm	18.7 kph	5.0
Ha Nam	17/01/2024	21.30 °C	83.0%	1.2 mm	18.0 kph	5.0
Hoa Binh	17/01/2024	20.50 °C	86.0%	1.0 mm	8.6 kph	6.0
Bac Ninh	17/01/2024	21.50 °C	77.0%	4.8 mm	21.6 kph	6.0
Vinh Phuc	17/01/2024	21.40 °C	78.0%	1.1 mm	18.4 kph	6.0
Phu Tho	17/01/2024	28.30 °C	55.0%	0.0 mm	18.7 kph	8.0
Hanoi	18/01/2024	21.90 °C	80.0%	0.9 mm	17.3 kph	6.0
Hung Yen	18/01/2024	21.30 °C	81.0%	0.2 mm	15.5 kph	5.0
Ha Nam	18/01/2024	21.70 °C	85.0%	1.1 mm	15.1 kph	5.0
Hoa Binh	18/01/2024	21.20 °C	84.0%	0.4 mm	7.9 kph	5.0
Bac Ninh	18/01/2024	21.60 °C	77.0%	0.6 mm	16.9 kph	5.0
Vinh Phuc	18/01/2024	21.90 °C	80.0%	0.9 mm	17.3 kph	6.0
Phu Tho	18/01/2024	29.00 °C	55.0%	0.0 mm	19.4 kph	9.0
Hanoi	19/01/2024	22.40 °C	80.0%	1.4 mm	17.3 kph	6.0
Hung Yen	19/01/2024	21.10 °C	84.0%	0.1 mm	14.4 kph	5.0
Ha Nam	19/01/2024	22.10 °C	83.0%	0.2 mm	15.5 kph	6.0
Hoa Binh	19/01/2024	21.50 °C	83.0%	0.6 mm	9.7 kph	6.0
Bac Ninh	19/01/2024	21.40 °C	81.0%	0.5 mm	18.7 kph	6.0
Vinh Phuc	19/01/2024	22.40 °C	80.0%	1.4 mm	17.3 kph	6.0
Phu Tho	19/01/2024	28.10 °C	58.0%	0.0 mm	23.0 kph	8.0
Hanoi	20/01/2024	22.10 °C	79.0%	1.2 mm	15.8 kph	5.0
Hung Yen	20/01/2024	21.30 °C	81.0%	0.5 mm	16.6 kph	5.0
Ha Nam	20/01/2024	22.20 °C	80.0%	0.8 mm	10.1 kph	5.0
Hoa Binh	20/01/2024	21.40 °C	83.0%	1.1 mm	8.6 kph	5.0
Bac Ninh	20/01/2024	21.40 °C	80.0%	0.8 mm	10.8 kph	5.0
Vinh Phuc	20/01/2024	22.10 °C	79.0%	1.2 mm	15.8 kph	5.0
Phu Tho	20/01/2024	27.30 °C	61.0%	0.0 mm	18.7 kph	8.0
Hanoi	21/01/2024	20.10 °C	79.0%	1.4 mm	14.8 kph	5.0
Hung Yen	21/01/2024	20.40 °C	75.0%	0.2 mm	20.2 kph	5.0
Ha Nam	21/01/2024	21.00 °C	87.0%	4.3 mm	15.8 kph	5.0
Hoa Binh	21/01/2024	19.40 °C	92.0%	3.6 mm	7.6 kph	5.0
Bac Ninh	21/01/2024	19.50 °C	76.0%	0.7 mm	15.1 kph	5.0
Vinh Phuc	21/01/2024	20.10 °C	79.0%	1.4 mm	14.8 kph	5.0
Phu Tho	21/01/2024	27.60 °C	58.0%	0.0 mm	20.2 kph	9.0
Hanoi	22/01/2024	12.40 °C	79.0%	6.9 mm	30.2 kph	4.0
Hung Yen	22/01/2024	14.10 °C	76.0%	2.4 mm	18.7 kph	4.0
Ha Nam	22/01/2024	15.10 °C	86.0%	5.8 mm	28.4 kph	5.0
Hoa Binh	22/01/2024	12.90 °C	90.0%	8.0 mm	11.2 kph	4.0
Bac Ninh	22/01/2024	11.60 °C	78.0%	6.4 mm	35.6 kph	4.0
Vinh Phuc	22/01/2024	12.40 °C	79.0%	6.9 mm	30.2 kph	4.0
Phu Tho	22/01/2024	28.10 °C	54.0%	0.0 mm	21.2 kph	9.0
Hanoi	23/01/2024	9.40 °C	68.0%	0.1 mm	19.4 kph	3.0
Hung Yen	23/01/2024	9.60 °C	73.0%	0.5 mm	11.9 kph	3.0
Ha Nam	23/01/2024	10.10 °C	72.0%	0.1 mm	23.4 kph	3.0
Hoa Binh	23/01/2024	8.70 °C	78.0%	0.1 mm	6.1 kph	3.0
Bac Ninh	23/01/2024	8.50 °C	70.0%	0.3 mm	23.4 kph	2.0
Vinh Phuc	23/01/2024	9.40 °C	68.0%	0.1 mm	19.4 kph	3.0
Phu Tho	23/01/2024	28.50 °C	55.0%	0.0 mm	20.9 kph	9.0
Hanoi	24/01/2024	10.30 °C	61.0%	0.0 mm	13.0 kph	3.0
Hung Yen	24/01/2024	11.70 °C	61.0%	0.0 mm	8.3 kph	3.0
Ha Nam	24/01/2024	11.30 °C	66.0%	0.0 mm	13.3 kph	3.0
Hoa Binh	24/01/2024	8.60 °C	67.0%	0.0 mm	5.8 kph	3.0
Bac Ninh	24/01/2024	9.90 °C	62.0%	0.0 mm	15.1 kph	3.0
Vinh Phuc	24/01/2024	10.30 °C	61.0%	0.0 mm	13.0 kph	3.0
Phu Tho	24/01/2024	28.50 °C	55.0%	0.0 mm	20.5 kph	9.0
Hanoi	25/01/2024	11.30 °C	60.0%	0.0 mm	9.7 kph	3.0
Hung Yen	25/01/2024	12.60 °C	61.0%	0.0 mm	7.2 kph	3.0
Ha Nam	25/01/2024	12.90 °C	67.0%	0.1 mm	10.8 kph	4.0
Hoa Binh	25/01/2024	8.20 °C	69.0%	0.0 mm	5.8 kph	3.0
Bac Ninh	25/01/2024	10.70 °C	60.0%	0.0 mm	12.6 kph	3.0
Vinh Phuc	25/01/2024	11.30 °C	60.0%	0.0 mm	9.7 kph	3.0
Phu Tho	25/01/2024	28.20 °C	55.0%	0.0 mm	18.4 kph	9.0
Hanoi	26/01/2024	11.80 °C	66.0%	0.0 mm	8.3 kph	3.0
Hung Yen	26/01/2024	12.70 °C	68.0%	0.2 mm	6.8 kph	3.0
Ha Nam	26/01/2024	13.00 °C	72.0%	0.2 mm	11.5 kph	3.0
Hoa Binh	26/01/2024	10.20 °C	73.0%	0.0 mm	5.0 kph	3.0
Bac Ninh	26/01/2024	11.20 °C	66.0%	0.0 mm	11.2 kph	3.0
Vinh Phuc	26/01/2024	11.80 °C	66.0%	0.0 mm	8.3 kph	3.0
Phu Tho	26/01/2024	28.00 °C	55.0%	0.0 mm	20.5 kph	9.0
Hanoi	27/01/2024	12.80 °C	71.0%	0.4 mm	10.4 kph	3.0
Hung Yen	27/01/2024	13.20 °C	76.0%	1.4 mm	7.9 kph	3.0
Ha Nam	27/01/2024	13.70 °C	79.0%	0.7 mm	8.6 kph	3.0
Hoa Binh	27/01/2024	11.20 °C	76.0%	0.0 mm	5.0 kph	3.0
Bac Ninh	27/01/2024	12.00 °C	74.0%	1.7 mm	15.1 kph	3.0
Vinh Phuc	27/01/2024	12.80 °C	71.0%	0.4 mm	10.4 kph	3.0
Phu Tho	27/01/2024	27.30 °C	57.0%	0.0 mm	22.7 kph	9.0
Hanoi	28/01/2024	12.30 °C	67.0%	0.0 mm	12.6 kph	3.0
Hung Yen	28/01/2024	12.50 °C	74.0%	0.6 mm	7.6 kph	3.0
Ha Nam	28/01/2024	13.30 °C	72.0%	0.4 mm	11.9 kph	4.0
Hoa Binh	28/01/2024	12.20 °C	73.0%	0.1 mm	6.1 kph	3.0
Bac Ninh	28/01/2024	11.50 °C	69.0%	0.0 mm	14.0 kph	3.0
Vinh Phuc	28/01/2024	12.30 °C	67.0%	0.0 mm	12.6 kph	3.0
Phu Tho	28/01/2024	27.50 °C	54.0%	0.0 mm	18.0 kph	8.0
Hanoi	29/01/2024	13.70 °C	72.0%	1.0 mm	7.9 kph	4.0
Hung Yen	29/01/2024	14.00 °C	79.0%	0.9 mm	6.8 kph	4.0
Ha Nam	29/01/2024	14.20 °C	81.0%	3.8 mm	7.2 kph	4.0
Hoa Binh	29/01/2024	14.60 °C	78.0%	0.5 mm	6.8 kph	4.0
Bac Ninh	29/01/2024	13.00 °C	75.0%	0.5 mm	8.6 kph	3.0
Vinh Phuc	29/01/2024	13.70 °C	72.0%	1.0 mm	7.9 kph	4.0
Phu Tho	29/01/2024	27.80 °C	52.0%	0.0 mm	18.4 kph	9.0
Hanoi	30/01/2024	17.60 °C	73.0%	0.1 mm	8.6 kph	5.0
Hung Yen	30/01/2024	17.50 °C	83.0%	0.2 mm	9.0 kph	5.0
Ha Nam	30/01/2024	18.20 °C	82.0%	0.0 mm	11.5 kph	5.0
Hoa Binh	30/01/2024	18.20 °C	77.0%	0.0 mm	8.3 kph	5.0
Bac Ninh	30/01/2024	17.00 °C	77.0%	0.1 mm	6.8 kph	5.0
Vinh Phuc	30/01/2024	17.60 °C	73.0%	0.1 mm	8.6 kph	5.0
Phu Tho	30/01/2024	27.90 °C	54.0%	0.0 mm	21.2 kph	9.0
Hanoi	31/01/2024	18.90 °C	84.0%	0.2 mm	10.4 kph	5.0
Hung Yen	31/01/2024	19.90 °C	89.0%	0.5 mm	11.5 kph	5.0
Ha Nam	31/01/2024	20.60 °C	87.0%	0.2 mm	14.4 kph	5.0
Hoa Binh	31/01/2024	19.90 °C	84.0%	0.1 mm	9.0 kph	5.0
Bac Ninh	31/01/2024	18.40 °C	85.0%	0.7 mm	7.6 kph	4.0
Vinh Phuc	31/01/2024	18.90 °C	84.0%	0.2 mm	10.4 kph	5.0
Phu Tho	31/01/2024	27.70 °C	59.0%	0.0 mm	20.9 kph	8.0
Hanoi	01/02/2024	22.30 °C	85.0%	0.6 mm	17.3 kph	6.0
Hung Yen	01/02/2024	21.10 °C	92.0%	1.4 mm	16.6 kph	5.0
Ha Nam	01/02/2024	23.00 °C	86.0%	0.5 mm	17.6 kph	6.0
Hoa Binh	01/02/2024	23.10 °C	80.0%	0.6 mm	10.8 kph	6.0
Bac Ninh	01/02/2024	21.20 °C	91.0%	2.3 mm	19.1 kph	5.0
Vinh Phuc	01/02/2024	22.30 °C	85.0%	0.6 mm	17.3 kph	6.0
Phu Tho	01/02/2024	28.00 °C	62.0%	0.0 mm	22.3 kph	9.0
Hanoi	02/02/2024	22.90 °C	83.0%	0.8 mm	21.6 kph	6.0
Hung Yen	02/02/2024	21.50 °C	85.0%	0.3 mm	16.2 kph	5.0
Ha Nam	02/02/2024	22.80 °C	88.0%	0.7 mm	18.0 kph	6.0
Hoa Binh	02/02/2024	23.90 °C	78.0%	0.6 mm	15.1 kph	6.0
Bac Ninh	02/02/2024	22.10 °C	84.0%	0.7 mm	19.4 kph	5.0
Vinh Phuc	02/02/2024	22.90 °C	83.0%	0.8 mm	21.6 kph	6.0
Phu Tho	02/02/2024	28.00 °C	63.0%	0.0 mm	21.2 kph	9.0
Hanoi	03/02/2024	22.90 °C	83.0%	1.5 mm	20.5 kph	5.0
Hung Yen	03/02/2024	21.30 °C	86.0%	0.4 mm	16.2 kph	5.0
Ha Nam	03/02/2024	22.90 °C	88.0%	1.1 mm	19.8 kph	6.0
Hoa Binh	03/02/2024	23.30 °C	84.0%	1.3 mm	11.2 kph	6.0
Bac Ninh	03/02/2024	22.10 °C	83.0%	0.5 mm	19.8 kph	5.0
Vinh Phuc	03/02/2024	22.90 °C	83.0%	1.5 mm	20.5 kph	5.0
Phu Tho	03/02/2024	28.10 °C	67.0%	0.0 mm	23.4 kph	9.0
Hanoi	04/02/2024	23.40 °C	82.0%	0.4 mm	20.5 kph	6.0
Hung Yen	04/02/2024	21.40 °C	90.0%	1.4 mm	15.5 kph	5.0
Ha Nam	04/02/2024	23.50 °C	86.0%	0.5 mm	18.7 kph	6.0
Hoa Binh	04/02/2024	24.30 °C	79.0%	1.4 mm	13.0 kph	6.0
Bac Ninh	04/02/2024	22.50 °C	85.0%	1.2 mm	22.0 kph	6.0
Vinh Phuc	04/02/2024	23.40 °C	82.0%	0.4 mm	20.5 kph	6.0
Phu Tho	04/02/2024	28.40 °C	65.0%	0.0 mm	21.6 kph	9.0
Hanoi	05/02/2024	23.20 °C	80.0%	0.5 mm	21.6 kph	6.0
Hung Yen	05/02/2024	21.70 °C	85.0%	0.1 mm	16.9 kph	5.0
Ha Nam	05/02/2024	22.40 °C	90.0%	0.8 mm	15.8 kph	5.0
Hoa Binh	05/02/2024	24.40 °C	80.0%	0.7 mm	15.1 kph	6.0
Bac Ninh	05/02/2024	22.80 °C	81.0%	0.6 mm	20.2 kph	6.0
Vinh Phuc	05/02/2024	23.20 °C	80.0%	0.5 mm	21.6 kph	6.0
Phu Tho	05/02/2024	28.60 °C	66.0%	0.0 mm	22.7 kph	9.0
Hanoi	06/02/2024	22.50 °C	85.0%	0.6 mm	21.2 kph	6.0
Hung Yen	06/02/2024	21.30 °C	88.0%	0.8 mm	17.3 kph	5.0
Ha Nam	06/02/2024	22.90 °C	89.0%	0.6 mm	18.7 kph	6.0
Hoa Binh	06/02/2024	23.80 °C	81.0%	0.3 mm	12.2 kph	6.0
Bac Ninh	06/02/2024	22.10 °C	86.0%	1.5 mm	19.1 kph	5.0
Vinh Phuc	06/02/2024	22.50 °C	85.0%	0.6 mm	21.2 kph	6.0
Phu Tho	06/02/2024	28.90 °C	64.0%	0.0 mm	24.1 kph	9.0
Hanoi	07/02/2024	21.40 °C	85.0%	1.1 mm	19.1 kph	5.0
Hung Yen	07/02/2024	20.30 °C	88.0%	0.8 mm	16.6 kph	5.0
Ha Nam	07/02/2024	21.80 °C	93.0%	1.3 mm	17.6 kph	5.0
Hoa Binh	07/02/2024	23.60 °C	83.0%	1.2 mm	13.7 kph	6.0
Bac Ninh	07/02/2024	20.90 °C	83.0%	1.4 mm	19.8 kph	5.0
Vinh Phuc	07/02/2024	21.40 °C	85.0%	1.1 mm	19.1 kph	5.0
Phu Tho	07/02/2024	28.50 °C	68.0%	0.0 mm	24.5 kph	9.0
Hanoi	08/02/2024	14.10 °C	76.0%	1.1 mm	15.8 kph	4.0
Hung Yen	08/02/2024	15.70 °C	82.0%	1.7 mm	9.0 kph	4.0
Ha Nam	08/02/2024	17.50 °C	87.0%	1.7 mm	16.6 kph	4.0
Hoa Binh	08/02/2024	14.80 °C	86.0%	1.1 mm	6.8 kph	4.0
Bac Ninh	08/02/2024	12.90 °C	76.0%	1.3 mm	19.1 kph	3.0
Vinh Phuc	08/02/2024	14.10 °C	76.0%	1.1 mm	15.8 kph	4.0
Phu Tho	08/02/2024	28.10 °C	67.0%	0.0 mm	22.3 kph	8.0
Hanoi	09/02/2024	14.00 °C	58.0%	0.1 mm	18.7 kph	4.0
Hung Yen	09/02/2024	13.90 °C	66.0%	0.1 mm	8.6 kph	3.0
Ha Nam	09/02/2024	14.40 °C	69.0%	0.2 mm	18.4 kph	4.0
Hoa Binh	09/02/2024	14.10 °C	66.0%	0.1 mm	8.6 kph	4.0
Bac Ninh	09/02/2024	13.00 °C	60.0%	0.1 mm	22.3 kph	3.0
Vinh Phuc	09/02/2024	14.00 °C	58.0%	0.1 mm	18.7 kph	4.0
Phu Tho	09/02/2024	29.00 °C	63.0%	0.0 mm	27.0 kph	9.0
Hanoi	10/02/2024	17.40 °C	49.0%	0.0 mm	12.6 kph	6.0
Hung Yen	10/02/2024	16.00 °C	56.0%	0.0 mm	7.9 kph	4.0
Ha Nam	10/02/2024	16.20 °C	56.0%	0.0 mm	14.4 kph	4.0
Hoa Binh	10/02/2024	15.20 °C	51.0%	0.0 mm	7.6 kph	5.0
Bac Ninh	10/02/2024	16.60 °C	52.0%	0.0 mm	13.7 kph	6.0
Vinh Phuc	10/02/2024	17.40 °C	49.0%	0.0 mm	12.6 kph	6.0
Phu Tho	10/02/2024	28.70 °C	57.0%	0.0 mm	26.3 kph	9.0
Hanoi	11/02/2024	19.20 °C	51.0%	0.0 mm	17.3 kph	6.0
Hung Yen	11/02/2024	17.90 °C	58.0%	0.0 mm	16.6 kph	6.0
Ha Nam	11/02/2024	17.60 °C	62.0%	0.0 mm	16.2 kph	6.0
Hoa Binh	11/02/2024	17.60 °C	53.0%	0.0 mm	7.9 kph	6.0
Bac Ninh	11/02/2024	18.80 °C	52.0%	0.0 mm	16.9 kph	6.0
Vinh Phuc	11/02/2024	19.20 °C	51.0%	0.0 mm	17.3 kph	6.0
Phu Tho	11/02/2024	28.40 °C	53.0%	0.0 mm	20.2 kph	9.0
Hanoi	12/02/2024	18.90 °C	67.0%	0.0 mm	18.7 kph	5.0
Hung Yen	12/02/2024	18.50 °C	69.0%	0.1 mm	20.9 kph	5.0
Ha Nam	12/02/2024	18.60 °C	74.0%	0.0 mm	13.0 kph	5.0
Hoa Binh	12/02/2024	18.80 °C	64.0%	0.0 mm	14.4 kph	6.0
Bac Ninh	12/02/2024	18.80 °C	63.0%	0.0 mm	22.0 kph	5.0
Vinh Phuc	12/02/2024	18.90 °C	67.0%	0.0 mm	18.7 kph	5.0
Phu Tho	12/02/2024	27.90 °C	52.0%	0.0 mm	21.6 kph	9.0
Hanoi	13/02/2024	19.10 °C	83.0%	0.4 mm	14.0 kph	5.0
Hung Yen	13/02/2024	19.20 °C	80.0%	0.0 mm	11.9 kph	5.0
Ha Nam	13/02/2024	18.70 °C	86.0%	0.1 mm	9.4 kph	5.0
Hoa Binh	13/02/2024	19.30 °C	82.0%	0.3 mm	9.4 kph	5.0
Bac Ninh	13/02/2024	19.20 °C	77.0%	0.1 mm	12.2 kph	5.0
Vinh Phuc	13/02/2024	19.10 °C	83.0%	0.4 mm	14.0 kph	5.0
Phu Tho	13/02/2024	28.90 °C	50.0%	0.0 mm	20.2 kph	9.0
Hanoi	14/02/2024	21.60 °C	74.0%	0.4 mm	20.9 kph	6.0
Hung Yen	14/02/2024	20.60 °C	75.0%	0.1 mm	16.9 kph	5.0
Ha Nam	14/02/2024	20.90 °C	82.0%	0.1 mm	19.1 kph	6.0
Hoa Binh	14/02/2024	21.90 °C	71.0%	0.2 mm	14.8 kph	6.0
Bac Ninh	14/02/2024	21.00 °C	73.0%	0.1 mm	19.4 kph	5.0
