city	day/month/year	temperature	humidity	rainfall	wind_speed	uv_index
Dong Nai	05/01/2024	19.70 °C	90.0%	0.4 mm	7.2 kph	5.0
Ba Ria Vung Tau	05/01/2024	26.10 °C	72.0%	0.0 mm	29.5 kph	7.0
Tien Giang	05/01/2024	21.10 °C	74.0%	0.6 mm	13.7 kph	5.0
Tay Ninh	05/01/2024	27.80 °C	60.0%	0.0 mm	9.7 kph	8.0
Binh Duong	05/01/2024	21.80 °C	79.0%	0.3 mm	13.7 kph	6.0
Ho Chi Minh City	06/01/2024	28.60 °C	58.0%	0.1 mm	16.6 kph	9.0
Binh Phuoc	06/01/2024	27.80 °C	65.0%	0.0 mm	18.0 kph	8.0
Dong Nai	06/01/2024	20.60 °C	88.0%	0.7 mm	5.8 kph	5.0
Ba Ria Vung Tau	06/01/2024	26.50 °C	74.0%	0.0 mm	33.1 kph	7.0
Tien Giang	06/01/2024	21.60 °C	76.0%	1.3 mm	16.6 kph	5.0
Tay Ninh	06/01/2024	28.30 °C	57.0%	0.0 mm	17.6 kph	8.0
Binh Duong	06/01/2024	22.00 °C	83.0%	2.8 mm	11.9 kph	5.0
Ho Chi Minh City	07/01/2024	28.30 °C	64.0%	0.0 mm	17.3 kph	7.0
Binh Phuoc	07/01/2024	27.80 °C	68.0%	0.0 mm	19.4 kph	7.0
Dong Nai	07/01/2024	21.60 °C	86.0%	1.5 mm	9.4 kph	5.0
Ba Ria Vung Tau	07/01/2024	26.40 °C	78.0%	0.0 mm	37.1 kph	7.0
Tien Giang	07/01/2024	22.10 °C	72.0%	0.6 mm	17.6 kph	6.0
Tay Ninh	07/01/2024	28.70 °C	62.0%	0.0 mm	18.7 kph	8.0
Binh Duong	07/01/2024	22.40 °C	87.0%	7.5 mm	15.1 kph	5.0
Ho Chi Minh City	08/01/2024	28.00 °C	65.0%	0.0 mm	18.7 kph	7.0
Binh Phuoc	08/01/2024	27.30 °C	69.0%	0.0 mm	19.1 kph	7.0
Dong Nai	08/01/2024	21.90 °C	88.0%	0.5 mm	10.8 kph	5.0
Ba Ria Vung Tau	08/01/2024	26.10 °C	78.0%	0.0 mm	34.2 kph	7.0
Tien Giang	08/01/2024	22.10 °C	78.0%	0.8 mm	18.4 kph	5.0
Tay Ninh	08/01/2024	28.50 °C	64.0%	0.0 mm	19.4 kph	8.0
Binh Duong	08/01/2024	22.60 °C	85.0%	1.2 mm	13.0 kph	5.0
Ho Chi Minh City	09/01/2024	28.40 °C	62.0%	0.0 mm	18.7 kph	8.0
Binh Phuoc	09/01/2024	27.60 °C	68.0%	0.0 mm	19.8 kph	8.0
Dong Nai	09/01/2024	21.90 °C	85.0%	0.1 mm	12.6 kph	7.0
Ba Ria Vung Tau	09/01/2024	26.30 °C	78.0%	0.0 mm	32.4 kph	7.0
Tien Giang	09/01/2024	22.30 °C	78.0%	0.8 mm	15.5 kph	5.0
Tay Ninh	09/01/2024	28.70 °C	62.0%	0.0 mm	20.5 kph	8.0
Binh Duong	09/01/2024	22.40 °C	85.0%	0.3 mm	12.2 kph	5.0
Ho Chi Minh City	10/01/2024	28.20 °C	61.0%	0.0 mm	18.4 kph	7.0
Binh Phuoc	10/01/2024	27.80 °C	66.0%	0.0 mm	19.4 kph	7.0
Dong Nai	10/01/2024	22.30 °C	88.0%	1.1 mm	10.1 kph	5.0
Ba Ria Vung Tau	10/01/2024	26.60 °C	76.0%	0.0 mm	36.4 kph	7.0
Tien Giang	10/01/2024	19.90 °C	89.0%	17.4 mm	10.4 kph	5.0
Tay Ninh	10/01/2024	28.10 °C	65.0%	0.0 mm	18.4 kph	7.0
Binh Duong	10/01/2024	23.00 °C	83.0%	1.7 mm	11.9 kph	5.0
Ho Chi Minh City	11/01/2024	28.10 °C	60.0%	0.0 mm	19.8 kph	9.0
Binh Phuoc	11/01/2024	27.50 °C	64.0%	0.0 mm	20.5 kph	8.0
Dong Nai	11/01/2024	22.00 °C	90.0%	3.8 mm	6.5 kph	5.0
Ba Ria Vung Tau	11/01/2024	26.10 °C	76.0%	0.0 mm	40.7 kph	7.0
Tien Giang	11/01/2024	18.00 °C	88.0%	5.2 mm	9.4 kph	4.0
Tay Ninh	11/01/2024	28.50 °C	61.0%	0.0 mm	20.2 kph	8.0
Binh Duong	11/01/2024	22.30 °C	87.0%	3.8 mm	14.8 kph	5.0
Ho Chi Minh City	12/01/2024	27.00 °C	60.0%	0.0 mm	20.5 kph	8.0
Binh Phuoc	12/01/2024	26.60 °C	66.0%	0.0 mm	20.2 kph	8.0
Dong Nai	12/01/2024	22.10 °C	84.0%	0.8 mm	14.8 kph	6.0
Ba Ria Vung Tau	12/01/2024	25.40 °C	75.0%	0.0 mm	41.4 kph	7.0
Tien Giang	12/01/2024	17.50 °C	91.0%	8.8 mm	8.3 kph	4.0
Tay Ninh	12/01/2024	27.60 °C	63.0%	0.0 mm	19.1 kph	8.0
Binh Duong	12/01/2024	22.40 °C	82.0%	2.5 mm	11.2 kph	5.0
Ho Chi Minh City	13/01/2024	26.80 °C	59.0%	0.0 mm	20.5 kph	8.0
Binh Phuoc	13/01/2024	26.30 °C	65.0%	0.0 mm	19.8 kph	8.0
Dong Nai	13/01/2024	21.70 °C	85.0%	3.1 mm	15.1 kph	5.0
Ba Ria Vung Tau	13/01/2024	25.40 °C	74.0%	0.0 mm	35.6 kph	7.0
Tien Giang	13/01/2024	18.50 °C	89.0%	2.5 mm	6.5 kph	4.0
Tay Ninh	13/01/2024	27.40 °C	61.0%	0.0 mm	18.7 kph	8.0
Binh Duong	13/01/2024	22.20 °C	84.0%	5.3 mm	18.0 kph	5.0
Ho Chi Minh City	14/01/2024	26.90 °C	56.0%	0.0 mm	18.0 kph	8.0
Binh Phuoc	14/01/2024	26.50 °C	62.0%	0.0 mm	17.3 kph	8.0
Dong Nai	14/01/2024	20.90 °C	89.0%	2.5 mm	14.0 kph	5.0
Ba Ria Vung Tau	14/01/2024	25.10 °C	72.0%	0.0 mm	29.5 kph	7.0
Tien Giang	14/01/2024	20.90 °C	78.0%	0.5 mm	10.4 kph	5.0
Tay Ninh	14/01/2024	27.00 °C	58.0%	0.0 mm	14.0 kph	8.0
Binh Duong	14/01/2024	22.00 °C	79.0%	1.9 mm	10.1 kph	5.0
Ho Chi Minh City	15/01/2024	27.20 °C	58.0%	0.0 mm	14.8 kph	8.0
Binh Phuoc	15/01/2024	26.60 °C	65.0%	0.0 mm	15.5 kph	8.0
Dong Nai	15/01/2024	20.90 °C	89.0%	2.1 mm	8.3 kph	5.0
Ba Ria Vung Tau	15/01/2024	25.70 °C	73.0%	0.0 mm	30.2 kph	7.0
Tien Giang	15/01/2024	21.40 °C	77.0%	0.3 mm	15.1 kph	5.0
Tay Ninh	15/01/2024	27.20 °C	57.0%	0.0 mm	15.5 kph	8.0
Binh Duong	15/01/2024	22.40 °C	82.0%	6.9 mm	15.1 kph	5.0
Ho Chi Minh City	16/01/2024	28.10 °C	54.0%	0.0 mm	14.4 kph	7.0
Binh Phuoc	16/01/2024	27.70 °C	58.0%	0.0 mm	14.4 kph	7.0
Dong Nai	16/01/2024	21.80 °C	81.0%	1.9 mm	16.2 kph	6.0
Ba Ria Vung Tau	16/01/2024	26.30 °C	73.0%	0.0 mm	31.0 kph	7.0
Tien Giang	16/01/2024	20.80 °C	79.0%	1.0 mm	16.2 kph	5.0
Tay Ninh	16/01/2024	28.20 °C	54.0%	0.0 mm	17.3 kph	7.0
Binh Duong	16/01/2024	22.50 °C	81.0%	5.0 mm	16.2 kph	5.0
Ho Chi Minh City	17/01/2024	28.30 °C	55.0%	0.0 mm	18.7 kph	8.0
Binh Phuoc	17/01/2024	27.80 °C	60.0%	0.0 mm	18.7 kph	8.0
Dong Nai	17/01/2024	21.40 °C	82.0%	1.1 mm	12.6 kph	5.0
Ba Ria Vung Tau	17/01/2024	26.20 °C	72.0%	0.1 mm	38.2 kph	7.0
Tien Giang	17/01/2024	21.40 °C	78.0%	1.1 mm	18.4 kph	6.0
Tay Ninh	17/01/2024	28.00 °C	55.0%	0.0 mm	18.0 kph	8.0
Binh Duong	17/01/2024	21.90 °C	83.0%	2.4 mm	13.7 kph	5.0
Ho Chi Minh City	18/01/2024	29.00 °C	55.0%	0.0 mm	19.4 kph	9.0
Binh Phuoc	18/01/2024	28.40 °C	60.0%	0.0 mm	20.9 kph	9.0
Dong Nai	18/01/2024	21.40 °C	87.0%	0.1 mm	11.9 kph	5.0
Ba Ria Vung Tau	18/01/2024	26.20 °C	76.0%	0.0 mm	36.7 kph	7.0
Tien Giang	18/01/2024	21.90 °C	80.0%	0.9 mm	17.3 kph	6.0
Tay Ninh	18/01/2024	28.80 °C	58.0%	0.0 mm	22.3 kph	8.0
Binh Duong	18/01/2024	22.10 °C	85.0%	1.0 mm	13.7 kph	5.0
Ho Chi Minh City	19/01/2024	28.10 °C	58.0%	0.0 mm	23.0 kph	8.0
Binh Phuoc	19/01/2024	27.60 °C	64.0%	0.0 mm	22.3 kph	8.0
Dong Nai	19/01/2024	21.80 °C	87.0%	0.0 mm	13.7 kph	6.0
Ba Ria Vung Tau	19/01/2024	26.00 °C	77.0%	0.0 mm	35.6 kph	7.0
Tien Giang	19/01/2024	22.40 °C	80.0%	1.4 mm	17.3 kph	6.0
Tay Ninh	19/01/2024	27.80 °C	63.0%	0.0 mm	20.5 kph	8.0
Binh Duong	19/01/2024	21.80 °C	85.0%	0.0 mm	14.8 kph	7.0
Ho Chi Minh City	20/01/2024	27.30 °C	61.0%	0.0 mm	18.7 kph	8.0
Binh Phuoc	20/01/2024	26.70 °C	66.0%	0.0 mm	19.4 kph	8.0
Dong Nai	20/01/2024	21.70 °C	83.0%	0.0 mm	13.0 kph	5.0
Ba Ria Vung Tau	20/01/2024	25.20 °C	77.0%	0.0 mm	34.2 kph	7.0
Tien Giang	20/01/2024	22.10 °C	79.0%	1.2 mm	15.8 kph	5.0
Tay Ninh	20/01/2024	27.10 °C	64.0%	0.0 mm	19.4 kph	8.0
Binh Duong	20/01/2024	21.70 °C	84.0%	0.0 mm	13.0 kph	6.0
Ho Chi Minh City	21/01/2024	27.60 °C	58.0%	0.0 mm	20.2 kph	9.0
Binh Phuoc	21/01/2024	27.30 °C	63.0%	0.0 mm	20.2 kph	8.0
Dong Nai	21/01/2024	21.90 °C	84.0%	0.9 mm	13.7 kph	6.0
Ba Ria Vung Tau	21/01/2024	25.90 °C	75.0%	0.0 mm	34.6 kph	7.0
Tien Giang	21/01/2024	20.10 °C	79.0%	1.4 mm	14.8 kph	5.0
Tay Ninh	21/01/2024	27.30 °C	61.0%	0.0 mm	17.6 kph	8.0
Binh Duong	21/01/2024	21.90 °C	83.0%	0.5 mm	11.5 kph	5.0
Ho Chi Minh City	22/01/2024	28.10 °C	54.0%	0.0 mm	21.2 kph	9.0
Binh Phuoc	22/01/2024	27.80 °C	59.0%	0.0 mm	21.2 kph	8.0
Dong Nai	22/01/2024	19.60 °C	88.0%	19.1 mm	25.9 kph	5.0
Ba Ria Vung Tau	22/01/2024	26.10 °C	73.0%	0.0 mm	37.8 kph	7.0
Tien Giang	22/01/2024	12.40 °C	79.0%	6.9 mm	30.2 kph	4.0
Tay Ninh	22/01/2024	27.90 °C	58.0%	0.0 mm	18.0 kph	8.0
Binh Duong	22/01/2024	22.60 °C	85.0%	4.2 mm	13.0 kph	5.0
Ho Chi Minh City	23/01/2024	28.50 °C	55.0%	0.0 mm	20.9 kph	9.0
Binh Phuoc	23/01/2024	27.90 °C	60.0%	0.0 mm	22.3 kph	9.0
Dong Nai	23/01/2024	12.60 °C	85.0%	7.3 mm	19.4 kph	3.0
Ba Ria Vung Tau	23/01/2024	26.10 °C	75.0%	0.0 mm	39.6 kph	7.0
Tien Giang	23/01/2024	9.40 °C	68.0%	0.1 mm	19.4 kph	3.0
Tay Ninh	23/01/2024	28.60 °C	56.0%	0.0 mm	23.0 kph	8.0
Binh Duong	23/01/2024	19.50 °C	93.0%	49.1 mm	20.9 kph	5.0
Ho Chi Minh City	24/01/2024	28.50 °C	55.0%	0.0 mm	20.5 kph	9.0
Binh Phuoc	24/01/2024	27.60 °C	61.0%	0.0 mm	22.3 kph	8.0
Dong Nai	24/01/2024	12.90 °C	82.0%	6.7 mm	17.6 kph	3.0
Ba Ria Vung Tau	24/01/2024	25.80 °C	75.0%	0.0 mm	46.4 kph	7.0
Tien Giang	24/01/2024	10.30 °C	61.0%	0.0 mm	13.0 kph	3.0
Tay Ninh	24/01/2024	28.70 °C	54.0%	0.0 mm	15.1 kph	8.0
Binh Duong	24/01/2024	19.00 °C	93.0%	24.3 mm	12.6 kph	4.0
Ho Chi Minh City	25/01/2024	28.20 °C	55.0%	0.0 mm	18.4 kph	9.0
Binh Phuoc	25/01/2024	27.20 °C	61.0%	0.0 mm	19.4 kph	8.0
Dong Nai	25/01/2024	13.80 °C	85.0%	4.9 mm	14.0 kph	4.0
Ba Ria Vung Tau	25/01/2024	25.80 °C	71.0%	0.0 mm	44.6 kph	7.0
Tien Giang	25/01/2024	11.30 °C	60.0%	0.0 mm	9.7 kph	3.0
Tay Ninh	25/01/2024	27.70 °C	56.0%	0.0 mm	19.4 kph	8.0
Binh Duong	25/01/2024	19.70 °C	90.0%	9.3 mm	11.9 kph	5.0
Ho Chi Minh City	26/01/2024	28.00 °C	55.0%	0.0 mm	20.5 kph	9.0
Binh Phuoc	26/01/2024	27.20 °C	60.0%	0.0 mm	21.2 kph	8.0
Dong Nai	26/01/2024	14.70 °C	87.0%	2.8 mm	15.1 kph	4.0
Ba Ria Vung Tau	26/01/2024	25.60 °C	73.0%	0.0 mm	41.8 kph	7.0
Tien Giang	26/01/2024	11.80 °C	66.0%	0.0 mm	8.3 kph	3.0
Tay Ninh	26/01/2024	28.00 °C	54.0%	0.0 mm	20.5 kph	8.0
Binh Duong	26/01/2024	20.20 °C	90.0%	7.1 mm	13.0 kph	5.0
Ho Chi Minh City	27/01/2024	27.30 °C	57.0%	0.0 mm	22.7 kph	9.0
Binh Phuoc	27/01/2024	26.60 °C	62.0%	0.0 mm	22.7 kph	8.0
Dong Nai	27/01/2024	15.70 °C	88.0%	2.9 mm	16.2 kph	4.0
Ba Ria Vung Tau	27/01/2024	25.10 °C	74.0%	0.0 mm	42.1 kph	7.0
Tien Giang	27/01/2024	12.80 °C	71.0%	0.4 mm	10.4 kph	3.0
Tay Ninh	27/01/2024	27.30 °C	59.0%	0.0 mm	21.6 kph	8.0
Binh Duong	27/01/2024	20.50 °C	91.0%	4.8 mm	10.8 kph	5.0
Ho Chi Minh City	28/01/2024	27.50 °C	54.0%	0.0 mm	18.0 kph	8.0
Binh Phuoc	28/01/2024	26.40 °C	60.0%	0.0 mm	19.1 kph	8.0
Dong Nai	28/01/2024	14.40 °C	89.0%	4.3 mm	12.6 kph	3.0
Ba Ria Vung Tau	28/01/2024	25.10 °C	73.0%	0.0 mm	40.3 kph	7.0
Tien Giang	28/01/2024	12.30 °C	67.0%	0.0 mm	12.6 kph	3.0
Tay Ninh	28/01/2024	27.00 °C	56.0%	0.0 mm	19.4 kph	8.0
Binh Duong	28/01/2024	20.00 °C	83.0%	0.5 mm	9.0 kph	5.0
Ho Chi Minh City	29/01/2024	27.80 °C	52.0%	0.0 mm	18.4 kph	9.0
Binh Phuoc	29/01/2024	26.80 °C	59.0%	0.0 mm	20.5 kph	8.0
Dong Nai	29/01/2024	15.10 °C	90.0%	5.4 mm	10.8 kph	4.0
Ba Ria Vung Tau	29/01/2024	25.20 °C	72.0%	0.0 mm	40.7 kph	7.0
Tien Giang	29/01/2024	13.70 °C	72.0%	1.0 mm	7.9 kph	4.0
Tay Ninh	29/01/2024	27.20 °C	55.0%	0.0 mm	20.5 kph	8.0
Binh Duong	29/01/2024	20.30 °C	84.0%	0.5 mm	10.8 kph	5.0
Ho Chi Minh City	30/01/2024	27.90 °C	54.0%	0.0 mm	21.2 kph	9.0
Binh Phuoc	30/01/2024	27.30 °C	60.0%	0.0 mm	21.6 kph	8.0
Dong Nai	30/01/2024	18.50 °C	87.0%	0.1 mm	9.4 kph	5.0
Ba Ria Vung Tau	30/01/2024	25.70 °C	75.0%	0.0 mm	34.9 kph	7.0
Tien Giang	30/01/2024	17.60 °C	73.0%	0.1 mm	8.6 kph	5.0
Tay Ninh	30/01/2024	27.50 °C	59.0%	0.0 mm	23.0 kph	8.0
Binh Duong	30/01/2024	20.90 °C	85.0%	0.0 mm	10.1 kph	6.0
Ho Chi Minh City	31/01/2024	27.70 °C	59.0%	0.0 mm	20.9 kph	8.0
Binh Phuoc	31/01/2024	27.10 °C	64.0%	0.0 mm	20.9 kph	8.0
Dong Nai	31/01/2024	21.10 °C	89.0%	0.0 mm	11.5 kph	5.0
Ba Ria Vung Tau	31/01/2024	25.70 °C	78.0%	0.0 mm	32.8 kph	7.0
Tien Giang	31/01/2024	18.90 °C	84.0%	0.2 mm	10.4 kph	5.0
Tay Ninh	31/01/2024	27.30 °C	64.0%	0.0 mm	21.2 kph	8.0
Binh Duong	31/01/2024	22.10 °C	88.0%	0.1 mm	16.2 kph	7.0
Ho Chi Minh City	01/02/2024	28.00 °C	62.0%	0.0 mm	22.3 kph	9.0
Binh Phuoc	01/02/2024	27.30 °C	69.0%	0.0 mm	22.3 kph	8.0
Dong Nai	01/02/2024	22.50 °C	89.0%	0.0 mm	12.6 kph	6.0
Ba Ria Vung Tau	01/02/2024	25.60 °C	82.0%	0.0 mm	30.2 kph	7.0
Tien Giang	01/02/2024	22.30 °C	85.0%	0.6 mm	17.3 kph	6.0
Tay Ninh	01/02/2024	27.90 °C	63.0%	0.0 mm	19.4 kph	8.0
Binh Duong	01/02/2024	22.80 °C	89.0%	0.0 mm	18.4 kph	6.0
Ho Chi Minh City	02/02/2024	28.00 °C	63.0%	0.0 mm	21.2 kph	9.0
Binh Phuoc	02/02/2024	27.30 °C	70.0%	0.0 mm	20.2 kph	8.0
Dong Nai	02/02/2024	22.80 °C	89.0%	0.0 mm	13.0 kph	6.0
Ba Ria Vung Tau	02/02/2024	25.80 °C	82.0%	0.0 mm	27.4 kph	7.0
Tien Giang	02/02/2024	22.90 °C	83.0%	0.8 mm	21.6 kph	6.0
Tay Ninh	02/02/2024	28.20 °C	64.0%	0.0 mm	20.2 kph	9.0
Binh Duong	02/02/2024	22.70 °C	88.0%	0.0 mm	17.6 kph	6.0
Ho Chi Minh City	03/02/2024	28.10 °C	67.0%	0.0 mm	23.4 kph	9.0
Binh Phuoc	03/02/2024	27.30 °C	71.0%	0.0 mm	20.9 kph	7.0
Dong Nai	03/02/2024	23.00 °C	89.0%	0.0 mm	10.4 kph	6.0
Ba Ria Vung Tau	03/02/2024	25.60 °C	83.0%	0.0 mm	30.2 kph	7.0
Tien Giang	03/02/2024	22.90 °C	83.0%	1.5 mm	20.5 kph	5.0
Tay Ninh	03/02/2024	28.20 °C	63.0%	0.0 mm	20.9 kph	9.0
Binh Duong	03/02/2024	23.00 °C	86.0%	0.0 mm	18.4 kph	7.0
Ho Chi Minh City	04/02/2024	28.40 °C	65.0%	0.0 mm	21.6 kph	9.0
Binh Phuoc	04/02/2024	27.60 °C	71.0%	0.0 mm	18.7 kph	7.0
Dong Nai	04/02/2024	23.40 °C	87.0%	0.0 mm	13.7 kph	6.0
Ba Ria Vung Tau	04/02/2024	25.80 °C	83.0%	0.0 mm	27.4 kph	7.0
Tien Giang	04/02/2024	23.40 °C	82.0%	0.4 mm	20.5 kph	6.0
Tay Ninh	04/02/2024	28.50 °C	62.0%	0.0 mm	21.2 kph	9.0
Binh Duong	04/02/2024	23.20 °C	87.0%	0.0 mm	16.9 kph	7.0
Ho Chi Minh City	05/02/2024	28.60 °C	66.0%	0.0 mm	22.7 kph	9.0
Binh Phuoc	05/02/2024	27.80 °C	72.0%	0.0 mm	20.9 kph	7.0
Dong Nai	05/02/2024	23.10 °C	88.0%	0.0 mm	12.2 kph	6.0
Ba Ria Vung Tau	05/02/2024	26.20 °C	83.0%	0.0 mm	22.0 kph	7.0
Tien Giang	05/02/2024	23.20 °C	80.0%	0.5 mm	21.6 kph	6.0
Tay Ninh	05/02/2024	28.70 °C	65.0%	0.4 mm	20.9 kph	8.0
Binh Duong	05/02/2024	23.50 °C	89.0%	0.0 mm	15.1 kph	6.0
Ho Chi Minh City	06/02/2024	28.90 °C	64.0%	0.0 mm	24.1 kph	9.0
Binh Phuoc	06/02/2024	28.00 °C	71.0%	0.0 mm	22.3 kph	8.0
Dong Nai	06/02/2024	23.10 °C	89.0%	0.0 mm	14.0 kph	6.0
Ba Ria Vung Tau	06/02/2024	26.50 °C	83.0%	0.0 mm	25.2 kph	7.0
Tien Giang	06/02/2024	22.50 °C	85.0%	0.6 mm	21.2 kph	6.0
Tay Ninh	06/02/2024	29.10 °C	62.0%	0.0 mm	23.0 kph	9.0
Binh Duong	06/02/2024	23.70 °C	88.0%	0.1 mm	19.1 kph	6.0
Ho Chi Minh City	07/02/2024	28.50 °C	68.0%	0.0 mm	24.5 kph	9.0
Binh Phuoc	07/02/2024	27.70 °C	73.0%	0.0 mm	21.6 kph	7.0
Dong Nai	07/02/2024	23.20 °C	87.0%	0.0 mm	15.1 kph	6.0
Ba Ria Vung Tau	07/02/2024	26.20 °C	84.0%	0.0 mm	23.0 kph	6.0
Tien Giang	07/02/2024	21.40 °C	85.0%	1.1 mm	19.1 kph	5.0
Tay Ninh	07/02/2024	29.00 °C	64.0%	0.0 mm	22.3 kph	8.0
Binh Duong	07/02/2024	23.60 °C	89.0%	0.0 mm	14.8 kph	7.0
Ho Chi Minh City	08/02/2024	28.10 °C	67.0%	0.0 mm	22.3 kph	8.0
Binh Phuoc	08/02/2024	27.30 °C	70.0%	0.0 mm	19.1 kph	8.0
Dong Nai	08/02/2024	19.40 °C	92.0%	3.5 mm	16.9 kph	5.0
Ba Ria Vung Tau	08/02/2024	26.00 °C	82.0%	0.0 mm	20.9 kph	7.0
Tien Giang	08/02/2024	14.10 °C	76.0%	1.1 mm	15.8 kph	4.0
Tay Ninh	08/02/2024	29.00 °C	61.0%	0.0 mm	23.0 kph	9.0
Binh Duong	08/02/2024	23.20 °C	90.0%	0.3 mm	12.2 kph	6.0
Ho Chi Minh City	09/02/2024	29.00 °C	63.0%	0.0 mm	27.0 kph	9.0
Binh Phuoc	09/02/2024	27.90 °C	71.0%	0.0 mm	26.6 kph	7.0
Dong Nai	09/02/2024	17.00 °C	89.0%	5.0 mm	20.2 kph	4.0
Ba Ria Vung Tau	09/02/2024	26.60 °C	82.0%	0.0 mm	43.9 kph	7.0
Tien Giang	09/02/2024	14.00 °C	58.0%	0.1 mm	18.7 kph	4.0
Tay Ninh	09/02/2024	28.80 °C	63.0%	0.0 mm	31.0 kph	9.0
Binh Duong	09/02/2024	20.70 °C	89.0%	1.7 mm	21.2 kph	5.0
Ho Chi Minh City	10/02/2024	28.70 °C	57.0%	0.0 mm	26.3 kph	9.0
Binh Phuoc	10/02/2024	28.20 °C	61.0%	0.0 mm	27.0 kph	9.0
Dong Nai	10/02/2024	15.70 °C	79.0%	2.6 mm	14.4 kph	4.0
Ba Ria Vung Tau	10/02/2024	26.40 °C	74.0%	0.0 mm	52.2 kph	7.0
Tien Giang	10/02/2024	17.40 °C	49.0%	0.0 mm	12.6 kph	6.0
Tay Ninh	10/02/2024	29.20 °C	56.0%	0.0 mm	26.6 kph	9.0
Binh Duong	10/02/2024	19.80 °C	86.0%	6.3 mm	20.2 kph	5.0
Ho Chi Minh City	11/02/2024	28.40 °C	53.0%	0.0 mm	20.2 kph	9.0
Binh Phuoc	11/02/2024	27.40 °C	59.0%	0.0 mm	21.2 kph	8.0
Dong Nai	11/02/2024	17.20 °C	72.0%	0.0 mm	15.5 kph	5.0
Ba Ria Vung Tau	11/02/2024	26.30 °C	72.0%	0.0 mm	44.6 kph	7.0
Tien Giang	11/02/2024	19.20 °C	51.0%	0.0 mm	17.3 kph	6.0
Tay Ninh	11/02/2024	28.90 °C	49.0%	0.0 mm	19.1 kph	9.0
Binh Duong	11/02/2024	19.40 °C	88.0%	4.7 mm	13.3 kph	5.0
Ho Chi Minh City	12/02/2024	27.90 °C	52.0%	0.0 mm	21.6 kph	9.0
Binh Phuoc	12/02/2024	27.10 °C	57.0%	0.0 mm	23.0 kph	8.0
Dong Nai	12/02/2024	17.30 °C	81.0%	0.0 mm	9.4 kph	5.0
Ba Ria Vung Tau	12/02/2024	25.50 °C	70.0%	0.0 mm	40.0 kph	7.0
Tien Giang	12/02/2024	18.90 °C	67.0%	0.0 mm	18.7 kph	5.0
Tay Ninh	12/02/2024	27.50 °C	50.0%	0.0 mm	19.1 kph	8.0
Binh Duong	12/02/2024	21.10 °C	80.0%	3.1 mm	13.7 kph	5.0
Ho Chi Minh City	13/02/2024	28.90 °C	50.0%	0.0 mm	20.2 kph	9.0
Binh Phuoc	13/02/2024	27.90 °C	57.0%	0.0 mm	22.0 kph	9.0
